epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,109.678,0.50797,0.9624,0.99899,0.69629,0.83333,0.72465,0.65557,0.41238,2.57623,0.9598,0.000202384,0.000202384,0.000202384
16,116.9,0.51294,1.01186,0.97501,0.02816,0.83333,0.69713,0.64085,0.38104,2.67155,0.92602,0.0002109,0.0002109,0.0002109
17,124.252,0.43861,0.8779,0.93485,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000218624,0.000218624,0.000218624
18,131.35,0.35097,0.84532,0.86087,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000225556,0.000225556,0.000225556
19,138.63,0.42262,0.87533,0.91965,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000231696,0.000231696,0.000231696
20,145.908,0.5384,0.99287,1.00852,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000237044,0.000237044,0.000237044
21,153.195,0.46805,0.80736,0.9648,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.0002416,0.0002416,0.0002416
22,160.307,0.46839,0.91831,0.99484,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.000245364,0.000245364,0.000245364
23,167.377,0.46253,0.95425,0.98751,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000248336,0.000248336,0.000248336
24,174.487,0.44492,0.88022,0.89769,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000250516,0.000250516,0.000250516
25,181.712,0.44669,0.88265,0.92139,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.000251904,0.000251904,0.000251904
26,188.94,0.47673,0.92343,0.96722,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.0002525,0.0002525,0.0002525
27,196.065,0.46694,0.84641,0.91957,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000252304,0.000252304,0.000252304
28,203.322,0.46131,0.8314,1.00842,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000251316,0.000251316,0.000251316
29,210.269,0.42822,0.75041,0.90955,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000249536,0.000249536,0.000249536
30,217.513,0.41979,0.79349,0.90829,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000246964,0.000246964,0.000246964
31,224.845,0.4084,0.78035,1.03102,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.0002436,0.0002436,0.0002436
32,231.947,0.44341,0.93139,0.93558,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.000239444,0.000239444,0.000239444
33,239.194,0.40637,0.72043,0.93162,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000234496,0.000234496,0.000234496
34,246.377,0.47647,0.90776,0.95511,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000228756,0.000228756,0.000228756
35,253.803,0.39391,0.79727,0.92602,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.000222224,0.000222224,0.000222224
36,261.145,0.41568,0.75085,0.91983,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.0002149,0.0002149,0.0002149
37,268.272,0.42064,0.81329,0.8873,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000206784,0.000206784,0.000206784
38,275.669,0.52689,0.93153,1.00823,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000197876,0.000197876,0.000197876
39,282.939,0.48512,0.82469,0.96273,0.82572,0.83333,0.80808,0.76267,0.41097,2.15995,0.82108,0.000188176,0.000188176,0.000188176
